Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
modern-bold-t-shirt,Modern Bold T-Shirt,"Experience luxury with the Modern Bold T-Shirt. Made with high-quality materials and expert craftsmanship, this item offers both style and durability for everyday wear.",Your Store,Apparel,"summer, casual, new-arrival",TRUE,Size,S,,,,,MODERN-BOLD-T-SHIRT-S,702,shopify,45,deny,manual,81,100,TRUE,TRUE,,https://oaidalleapiprodscus.blob.core.windows.net/private/org-nSMTPzZCuYtPbYEViwvs7h22/user-Zmv2IBeKcsjUByW19imosAH1/img-j7nLn34ngidEzryhOk1n4rcb.png?st=2025-11-24T19%3A19%3A52Z&se=2025-11-24T21%3A19%3A52Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=c6569cb0-0faa-463d-9694-97df3dc1dfb1&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2025-11-24T19%3A47%3A16Z&ske=2025-11-25T19%3A47%3A16Z&sks=b&skv=2024-08-04&sig=Cxt1qXCFQfPNc2xovileG%2BMtXrvZccuVunm0RxG419A%3D,1,Modern Bold T-Shirt,FALSE,Modern Bold T-Shirt,"Experience luxury with the Modern Bold T-Shirt. Made with high-quality materials and expert craftsmanship, this item offers both style and durability for everyd",,g,,32.4,active
modern-bold-t-shirt,,,,,,,,M,,,,,MODERN-BOLD-T-SHIRT-M,296,shopify,36,deny,manual,81,101,TRUE,TRUE,,,,,FALSE,,,,g,,32.4,active
modern-bold-t-shirt,,,,,,,,L,,,,,MODERN-BOLD-T-SHIRT-L,683,shopify,18,deny,manual,81,99,TRUE,TRUE,,,,,FALSE,,,,g,,32.4,active
modern-bold-t-shirt,,,,,,,,XL,,,,,MODERN-BOLD-T-SHIRT-XL,488,shopify,41,deny,manual,81,99,TRUE,TRUE,,,,,FALSE,,,,g,,32.4,active
premium-elegant-jeans,Premium Elegant Jeans,"Discover the perfect blend of style and comfort with our Premium Elegant Jeans. Crafted with premium materials and attention to detail, this piece is designed to elevate your wardrobe.",Your Store,Apparel,"summer, casual, new-arrival",TRUE,Size,S,,,,,PREMIUM-ELEGANT-JEANS-S,489,shopify,39,deny,manual,92,113,TRUE,TRUE,,https://oaidalleapiprodscus.blob.core.windows.net/private/org-nSMTPzZCuYtPbYEViwvs7h22/user-Zmv2IBeKcsjUByW19imosAH1/img-196Q61KVeQFgFoujYN63LI24.png?st=2025-11-24T19%3A20%3A07Z&se=2025-11-24T21%3A20%3A07Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=8eb2c87c-0531-4dab-acb3-b5e2adddce6c&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2025-11-24T18%3A38%3A04Z&ske=2025-11-25T18%3A38%3A04Z&sks=b&skv=2024-08-04&sig=rCn/kedtal6yWnm94/MxrzSPT6vI7C7dC3t%2BnDHRWb4%3D,1,Premium Elegant Jeans,FALSE,Premium Elegant Jeans,"Discover the perfect blend of style and comfort with our Premium Elegant Jeans. Crafted with premium materials and attention to detail, this piece is designed t",,g,,36.8,active
premium-elegant-jeans,,,,,,,,M,,,,,PREMIUM-ELEGANT-JEANS-M,224,shopify,16,deny,manual,92,117,TRUE,TRUE,,,,,FALSE,,,,g,,36.8,active
premium-elegant-jeans,,,,,,,,L,,,,,PREMIUM-ELEGANT-JEANS-L,543,shopify,10,deny,manual,92,110,TRUE,TRUE,,,,,FALSE,,,,g,,36.8,active
premium-elegant-jeans,,,,,,,,XL,,,,,PREMIUM-ELEGANT-JEANS-XL,730,shopify,41,deny,manual,92,111,TRUE,TRUE,,,,,FALSE,,,,g,,36.8,active
essential-stylish-sweater,Essential Stylish Sweater,"Experience luxury with the Essential Stylish Sweater. Made with high-quality materials and expert craftsmanship, this item offers both style and durability for everyday wear.",Your Store,Apparel,"summer, casual, new-arrival",TRUE,Size,S,,,,,ESSENTIAL-STYLISH-SWEATER-S,334,shopify,27,deny,manual,21,35,TRUE,TRUE,,https://oaidalleapiprodscus.blob.core.windows.net/private/org-nSMTPzZCuYtPbYEViwvs7h22/user-Zmv2IBeKcsjUByW19imosAH1/img-Em5YOkNxy6mOBGMWv4NdXWHq.png?st=2025-11-24T19%3A20%3A20Z&se=2025-11-24T21%3A20%3A20Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=32836cae-d25f-4fe9-827b-1c8c59c442cc&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2025-11-24T18%3A12%3A36Z&ske=2025-11-25T18%3A12%3A36Z&sks=b&skv=2024-08-04&sig=J9mwj1yzTQwAxMO5m3YkoOE0urSVw3qFTwB7vTiTpVo%3D,1,Essential Stylish Sweater,FALSE,Essential Stylish Sweater,"Experience luxury with the Essential Stylish Sweater. Made with high-quality materials and expert craftsmanship, this item offers both style and durability for ",,g,,8.4,active
essential-stylish-sweater,,,,,,,,M,,,,,ESSENTIAL-STYLISH-SWEATER-M,465,shopify,50,deny,manual,21,43,TRUE,TRUE,,,,,FALSE,,,,g,,8.4,active
